date,price,year
2018-10-05,1202.8,2018
2018-10-08,1190.7,2018
2018-10-09,1189.97,2018
2018-10-10,1194.2,2018
2018-10-11,1221.28,2018
2018-10-12,1217.87,2018
2018-10-15,1226.88,2018
2018-10-16,1225.03,2018
2018-10-17,1222.31,2018
2018-10-18,1225.93,2018
2018-10-19,1226.68,2018
2018-10-22,1222.32,2018
2018-10-23,1231.02,2018
2018-10-24,1235.2,2018
2018-10-25,1231.87,2018
2018-10-26,1233.45,2018
2018-10-29,1230.19,2018
2018-10-30,1222.65,2018
2018-10-31,1216.19,2018
2018-11-01,1233.03,2018
2018-11-02,1232.87,2018
2018-11-05,1231.3,2018
2018-11-06,1227.82,2018
2018-11-07,1226.15,2018
2018-11-08,1223.18,2018
2018-11-09,1209.97,2018
2018-11-12,1202.29,2018
2018-11-13,1203.12,2018
2018-11-14,1211.14,2018
2018-11-15,1214.04,2018
2018-11-16,1221.51,2018
2018-11-19,1224.18,2018
2018-11-20,1221.7,2018
2018-11-21,1225.81,2018
2018-11-22,1227.46,2018
2018-11-23,1223.19,2018
2018-11-26,1222.66,2018
2018-11-27,1214.6,2018
2018-11-28,1221.1,2018
2018-11-29,1224.35,2018
2018-11-30,1222.43,2018
2018-12-03,1231.3,2018
2018-12-04,1238.8,2018
2018-12-05,1238.25,2018
2018-12-06,1237.59,2018
2018-12-07,1248.57,2018
2018-12-10,1244.22,2018
2018-12-11,1243.23,2018
2018-12-12,1246.19,2018
2018-12-13,1242.55,2018
2018-12-14,1238.38,2018
2018-12-17,1245.9,2018
2018-12-18,1249.5,2018
2018-12-19,1244.33,2018
2018-12-20,1262.01,2018
2018-12-21,1255.93,2018
2018-12-24,1269.14,2018
2018-12-25,1267.45,2018
2018-12-26,1269.3,2018
2018-12-27,1274.78,2018
2018-12-28,1280.99,2018
2018-12-31,1282.57,2018
2019-01-01,1281.3,2019
2019-01-02,1285.91,2019
2019-01-03,1295.26,2019
2019-01-04,1284.89,2019
2019-01-07,1288.93,2019
2019-01-08,1285.2,2019
2019-01-09,1293.0,2019
