"Date","Price","Open","High","Low","Vol.","Change %"
"04/03/1998","1.6578","1.6645","1.6683","1.6553","","-0.40%"
"04/02/1998","1.6644","1.6728","1.6741","1.6618","","-0.41%"
"04/01/1998","1.6713","1.6725","1.6780","1.6683","","-0.09%"
"03/31/1998","1.6728","1.6764","1.6845","1.6685","","-0.28%"
"03/30/1998","1.6775","1.6830","1.6858","1.6753","","-0.31%"
"03/27/1998","1.6827","1.6865","1.6895","1.6799","","-0.21%"
"03/26/1998","1.6863","1.6754","1.6887","1.6723","","0.66%"
"03/25/1998","1.6753","1.6743","1.6772","1.6705","","0.04%"
"03/24/1998","1.6746","1.6776","1.6790","1.6720","","-0.24%"
"03/23/1998","1.6787","1.6685","1.6823","1.6651","","0.61%"
"03/20/1998","1.6685","1.6655","1.6705","1.6601","","0.12%"
"03/19/1998","1.6665","1.6703","1.6706","1.6640","","-0.28%"
"03/18/1998","1.6711","1.6753","1.6787","1.6677","","-0.21%"
"03/17/1998","1.6747","1.6680","1.6760","1.6640","","0.40%"
"03/16/1998","1.6680","1.6726","1.6735","1.6638","","-0.21%"
"03/13/1998","1.6715","1.6570","1.6750","1.6545","","0.88%"
"03/12/1998","1.6570","1.6485","1.6595","1.6465","","0.53%"
"03/11/1998","1.6482","1.6413","1.6503","1.6376","","0.45%"
"03/10/1998","1.6408","1.6389","1.6418","1.6330","","0.11%"
"03/09/1998","1.6390","1.6380","1.6400","1.6328","","0.21%"
"03/06/1998","1.6355","1.6332","1.6409","1.6304","","0.09%"
"03/05/1998","1.6340","1.6481","1.6520","1.6290","","-0.81%"
"03/04/1998","1.6473","1.6505","1.6525","1.6445","","-0.18%"
"03/03/1998","1.6502","1.6468","1.6542","1.6435","","0.14%"
"03/02/1998","1.6479","1.6437","1.6627","1.6433","","0.23%"
"02/27/1998","1.6442","1.6441","1.6513","1.6425","","-0.02%"
"02/26/1998","1.6445","1.6422","1.6486","1.6365","","0.04%"
"02/25/1998","1.6438","1.6490","1.6518","1.6410","","-0.38%"
"02/24/1998","1.6500","1.6450","1.6534","1.6424","","0.18%"
"02/23/1998","1.6470","1.6363","1.6510","1.6315","","0.58%"
"02/20/1998","1.6375","1.6372","1.6399","1.6334","","0.02%"
"02/19/1998","1.6372","1.6370","1.6416","1.6334","","-0.02%"
"02/18/1998","1.6376","1.6334","1.6446","1.6263","","0.30%"
"02/17/1998","1.6327","1.6383","1.6415","1.6292","","-0.37%"
"02/16/1998","1.6387","1.6415","1.6430","1.6353","","-0.17%"
"02/13/1998","1.6415","1.6390","1.6428","1.6325","","0.11%"
"02/12/1998","1.6397","1.6330","1.6421","1.6303","","0.43%"
"02/11/1998","1.6326","1.6256","1.6359","1.6208","","0.42%"
"02/10/1998","1.6257","1.6291","1.6337","1.6210","","-0.26%"
"02/09/1998","1.6300","1.6400","1.6453","1.6260","","-0.82%"
"02/06/1998","1.6435","1.6525","1.6536","1.6423","","-0.66%"
"02/05/1998","1.6545","1.6565","1.6598","1.6492","","-0.12%"
"02/04/1998","1.6565","1.6460","1.6592","1.6405","","0.64%"
"02/03/1998","1.6460","1.6400","1.6493","1.6363","","0.41%"
"02/02/1998","1.6393","1.6334","1.6397","1.6248","","0.36%"
"01/30/1998","1.6335","1.6376","1.6426","1.6305","","-0.34%"
"01/29/1998","1.6390","1.6428","1.6455","1.6356","","-0.20%"
"01/28/1998","1.6423","1.6433","1.6476","1.6319","","-0.02%"
"01/27/1998","1.6427","1.6565","1.6635","1.6425","","-0.87%"
"01/26/1998","1.6571","1.6750","1.6865","1.6513","","-0.86%"
"01/23/1998","1.6715","1.6485","1.6753","1.6475","","1.35%"
"01/22/1998","1.6493","1.6329","1.6530","1.6295","","1.10%"
"01/21/1998","1.6313","1.6271","1.6338","1.6202","","0.28%"
"01/20/1998","1.6267","1.6379","1.6397","1.6237","","-0.62%"
"01/19/1998","1.6368","1.6345","1.6439","1.6330","","0.17%"
"01/16/1998","1.6340","1.6308","1.6383","1.6270","","0.18%"
"01/15/1998","1.6310","1.6298","1.6356","1.6270","","0.12%"
"01/14/1998","1.6290","1.6340","1.6345","1.6253","","-0.30%"
"01/13/1998","1.6339","1.6231","1.6397","1.6219","","0.70%"
"01/12/1998","1.6225","1.6135","1.6238","1.6090","","0.61%"
"01/09/1998","1.6127","1.6137","1.6244","1.6115","","-0.02%"
"01/08/1998","1.6130","1.6260","1.6275","1.6097","","-0.79%"
"01/07/1998","1.6258","1.6237","1.6292","1.6178","","0.09%"
"01/06/1998","1.6243","1.6300","1.6360","1.6233","","-0.32%"
"01/05/1998","1.6295","1.6427","1.6468","1.6235","","-0.94%"
"01/02/1998","1.6450","1.6480","1.6485","1.6350","","-0.15%"
"12/31/1997","1.6475","1.6560","1.6591","1.6408","","-0.51%"
"12/30/1997","1.6560","1.6705","1.6730","1.6533","","-0.95%"
"12/29/1997","1.6718","1.6760","1.6793","1.6680","","-0.39%"
"12/26/1997","1.6784","1.6719","1.6800","1.6673","","0.36%"
"12/25/1997","1.6724","1.6680","1.6730","1.6675","","0.23%"
"12/24/1997","1.6685","1.6673","1.6740","1.6615","","0.03%"
"12/23/1997","1.6680","1.6630","1.6728","1.6585","","0.27%"
"12/22/1997","1.6635","1.6680","1.6712","1.6595","","-0.42%"
"12/19/1997","1.6705","1.6651","1.6762","1.6615","","0.36%"
"12/18/1997","1.6645","1.6510","1.6669","1.6480","","0.82%"
"12/17/1997","1.6510","1.6360","1.6575","1.6350","","0.95%"
"12/16/1997","1.6355","1.6330","1.6382","1.6275","","0.12%"
"12/15/1997","1.6335","1.6470","1.6505","1.6295","","-1.09%"
"12/12/1997","1.6515","1.6588","1.6655","1.6470","","-0.33%"
"12/11/1997","1.6570","1.6480","1.6596","1.6480","","0.40%"
"12/10/1997","1.6504","1.6523","1.6530","1.6434","","-0.08%"
"12/09/1997","1.6518","1.6495","1.6544","1.6433","","0.24%"
"12/08/1997","1.6478","1.6595","1.6595","1.6437","","-0.68%"
"12/05/1997","1.6590","1.6664","1.6675","1.6505","","-0.42%"
"12/04/1997","1.6660","1.6830","1.6850","1.6644","","-1.07%"
"12/03/1997","1.6840","1.6810","1.6852","1.6792","","0.15%"
"12/02/1997","1.6815","1.6863","1.6893","1.6803","","-0.21%"
"12/01/1997","1.6850","1.6915","1.6915","1.6757","","-0.24%"
"11/28/1997","1.6890","1.6723","1.6900","1.6715","","0.99%"
"11/27/1997","1.6725","1.6739","1.6757","1.6673","","-0.05%"
"11/26/1997","1.6734","1.6778","1.6795","1.6690","","-0.20%"
"11/25/1997","1.6767","1.6911","1.6920","1.6743","","-0.83%"
"11/24/1997","1.6907","1.6895","1.6963","1.6880","","-0.17%"
"11/21/1997","1.6935","1.6877","1.6948","1.6839","","0.31%"
"11/20/1997","1.6883","1.6910","1.6995","1.6872","","-0.15%"
"11/19/1997","1.6909","1.6923","1.6951","1.6854","","-0.01%"
